1	0.969	2.547
1	0.954	2.605
1	0.946	2.840
1	0.857	3.037
1	0.693	3.268
1	0.483	3.334
1	0.444	3.355
1	0.417	3.521
1	0.319	3.681
1	0.220	3.946
1	0.125	4.177
1	0.069	4.230
1	0.008	4.318
1	0.006	5.152
1	0.002	5.521
2	0.958	2.923
2	0.881	3.037
2	0.752	3.271
2	0.676	3.339
2	0.643	3.420
2	0.589	3.482
2	0.458	3.500
2	0.452	3.844
2	0.434	3.931
2	0.235	4.024
2	0.218	4.290
2	0.108	4.384
2	0.061	4.633
2	0.052	4.635
2	0.034	4.710
2	0.014	4.883
3	0.994	2.949
3	0.930	3.084
3	0.906	3.130
3	0.885	3.212
3	0.780	3.286
3	0.532	3.563
3	0.517	3.742
3	0.430	4.029
3	0.379	4.158
3	0.367	4.173
3	0.344	4.177
3	0.219	4.317
3	0.120	4.532
3	0.072	4.644
3	0.061	4.723
3	0.038	6.168
4	0.999	3.159
4	0.840	3.306
4	0.825	3.468
4	0.785	3.472
4	0.568	3.583
4	0.463	4.058
4	0.377	4.271
4	0.224	4.411
4	0.150	4.620
4	0.130	4.730
4	0.068	4.731
5	0.991	3.332
5	0.895	3.384
5	0.766	3.617
5	0.710	3.660
5	0.705	3.869
5	0.654	4.011
5	0.622	4.133
5	0.477	4.184
5	0.465	4.219
5	0.260	4.439
5	0.114	4.752
5	0.085	5.137
6	0.916	3.480
6	0.821	3.619
6	0.719	3.885
6	0.635	4.357
6	0.549	4.370
6	0.497	4.430
6	0.459	4.445
6	0.447	4.468
6	0.414	4.473
6	0.359	4.512
6	0.311	4.592
6	0.198	4.867
6	0.153	4.870
6	0.128	5.104
6	0.118	5.448
7	0.916	3.509
7	0.848	3.689
7	0.729	3.904
7	0.604	4.389
7	0.443	4.724
7	0.433	4.926
7	0.291	5.315
8	0.958	3.677
8	0.892	3.690
8	0.849	3.807
8	0.786	3.991
8	0.734	4.170
8	0.572	4.768
9	0.894	3.877
9	0.762	4.215
